time,open,high,low,close,Volume,Volume MA
1547049600,148.26,149.25,148.13,148.66,11671.54375,12966.290619499992
1547053200,148.65,148.84,147.97,148.55,6416.62414,12732.455472499993
1547056800,148.55,148.62,148.12,148.46,5195.25644,12466.517772499992
1547060400,148.47,148.62,148.25,148.58,4631.44031,12090.828891999992
1547064000,148.56,148.61,147.41,147.66,10611.94405,12106.008546999992
1547067600,147.66,149.9,147.07,148.25,28486.83315,12234.943864499992
1547071200,148.25,149.28,148.01,148.44,11726.21963,11567.462161499992
1547074800,148.45,148.9,147.93,148.1,6801.98833,11122.004519499993
1547078400,148.11,149.4,147.91,149.36,6957.42529,10876.153900999994
1547082000,149.33,149.45,148.5,148.64,9205.02929,10637.075553999994
1547085600,148.61,148.67,148.16,148.56,7066.33966,10599.242238499994
1547089200,148.6,148.71,148.04,148.14,7748.42009,10564.323873499994
1547092800,148.15,148.33,147.94,148.29,10286.96426,10582.304866499993
1547096400,148.3,148.38,147.4,147.4,17842.68617,11073.977129999994
1547100000,147.42,147.64,133.1,135.51,138569.32285,17643.782589999995
1547103600,135.4,135.9,134.1,135.45,60269.1774,20205.422873999993
1547107200,135.45,135.52,132.34,133.1,49117.31627,21803.461217499993
1547110800,133.1,133.16,126.99,127.9,107627.60964,26438.707095499994
1547114400,127.9,130.82,127.28,129.88,38579.29005,27585.514793499995
1547118000,129.88,131.1,129.31,130.99,25962.17798,28238.680437499996
1547121600,130.98,131.61,129.14,129.62,21977.22171,28753.964335499993
1547125200,129.62,129.75,128,129.52,27677.88825,29817.027540999996
1547128800,129.52,129.87,126.3,129.6,26721.77075,30893.353256499995
1547132400,129.57,129.86,128.7,129.27,16625.75332,31493.068906999997
1547136000,129.25,129.28,122.07,124.36,98137.34659,35869.33903399999
1547139600,124.34,124.51,123.03,123.85,26970.26189,35793.510470999994
1547143200,123.87,123.98,123.05,123.6,13191.40724,35866.769851499994
1547146800,123.59,126.04,121,125.62,65104.70164,38781.90551699999
1547150400,125.59,127.1,125.3,125.92,40791.01017,40473.58476099999
1547154000,125.93,126.42,125.05,125.36,22701.13673,41148.39013299999
1547157600,125.35,125.76,124.4,125.47,19558.42537,41772.99441849999
1547161200,125.44,126.43,124.82,124.95,13063.06777,42038.72680249999
1547164800,124.96,127.25,122.2,127.14,35671.37675,43307.94742699999
1547168400,127.14,127.36,125.01,125.88,19677.52138,43399.68918749999
1547172000,125.87,126.23,124.72,125.32,11831.52552,37062.79932099999
1547175600,125.33,126.26,125.01,125.68,22040.77371,35151.37913649999
1547179200,125.68,125.8,124.18,125.09,20666.35087,33728.83086649999
1547182800,125.09,126.29,124.7,125.88,28155.43736,29755.22225249999
1547186400,125.88,126.46,125.35,126.24,13958.4271,28524.17910499999
1547190000,126.24,127.12,125.8,126.42,17302.33744,28091.187077999988
1547193600,126.39,126.73,125.21,125.54,23546.46292,28169.64913849999
1547197200,125.55,125.85,123.13,123.7,24966.3074,28034.070095999992
1547200800,123.7,124.45,120.08,121.95,40512.6228,28723.612698499994
1547204400,121.96,122.96,120.92,122.71,27435.68745,29264.10940499999
1547208000,122.71,122.71,121.27,121.9,19246.45626,25319.56488849999
1547211600,121.85,122.24,120.59,120.81,17545.32362,24848.31797499999
1547215200,120.86,125,120.74,124.63,44447.72595,26411.13391049999
1547218800,124.67,126.45,123.24,123.24,35239.86618,24917.89213749999
1547222400,123.25,125.49,123.24,124.7,19773.32784,23867.00802099999
1547226000,124.7,126.37,124.5,125.42,18237.15217,23643.808792999993
1547229600,125.42,125.5,124.41,124.9,10136.05432,23172.690240499993
1547233200,124.89,125.23,123.92,124.02,10839.94232,23061.53396799999
1547236800,124.02,124.88,122.52,123.43,22580.06451,22406.96835599999
1547240400,123.44,125.55,122.99,123.78,19649.95195,22405.58988449999
1547244000,123.81,123.97,122.16,122.63,11443.05895,22386.16655599999
1547247600,122.65,124.72,121.5,124.65,30390.22892,22803.63931649999
1547251200,124.67,125.31,124,124.47,17253.74061,22633.008803499986
1547254800,124.45,124.56,123.2,123.97,12242.93542,21837.38370649999
1547258400,123.95,124.39,122.6,124.28,9664.92324,21622.708513499987
1547262000,124.28,125.81,124.02,125.47,29189.41077,22217.062179999986
1547265600,125.48,125.48,124.59,124.67,11192.81359,21599.379713499984
1547269200,124.67,125.46,124.64,125.09,8288.66177,20765.497431999986
1547272800,125.08,125.21,123.61,123.92,11307.16073,19305.224328499986
1547276400,123.93,124.59,123.84,124.55,9402.37105,18403.558508499984
1547280000,124.52,124.56,123.39,123.66,9892.94708,17935.883049499986
1547283600,123.65,124.14,123.25,124.01,11459.22932,17631.578334499987
1547287200,124.02,125.33,123.82,124.28,10240.85756,15921.234914999985
1547290800,124.25,124.6,123.81,124.05,9436.26476,14631.054843999984
1547294400,124.04,126.19,122.7,124.74,27138.87983,14999.332443499985
1547298000,124.77,125.05,123.76,124.76,10615.26161,14618.237915499984
1547301600,124.75,125.05,124.41,124.84,7220.10323,14472.440360999983
1547305200,124.84,124.89,124.21,124.66,6064.26801,14233.656645499985
1547308800,124.66,124.99,123.33,123.85,11843.48007,13696.827423499984
1547312400,123.86,124.94,122.75,124.25,15188.35137,13473.747394499986
1547316000,124.23,124.5,123.91,123.98,5671.06727,13185.147810499988
1547319600,123.95,124.24,123.78,124.11,6099.94417,11970.633572999988
1547323200,124.15,124.27,122.95,123.64,8563.18334,11536.105709499987
1547326800,123.6,124.19,123.24,123.52,6552.68979,11251.593427999987
1547330400,123.54,125.31,122,122.78,27366.21218,12136.657874999986
1547334000,122.78,123.49,122.12,123.35,18367.37727,11595.556199999988
1547337600,123.35,123.54,122.63,122.67,9623.45968,11517.088504499987
1547341200,122.66,122.94,122.27,122.33,7101.16918,11457.713874999987
1547344800,122.3,123.31,122.3,123.25,5520.85166,11168.398421499985
1547348400,123.25,123.6,122.97,123.41,4613.88559,10928.974148499987
1547352000,123.43,123.66,123.07,123.22,6299.80852,10749.317220499985
1547355600,123.17,123.4,122.36,122.67,6858.94331,10519.302919999984
1547359200,122.68,123.15,122.39,122.93,7784.28268,10396.474175999985
1547362800,122.92,123.48,122.9,123.21,6545.15412,10251.918643999985
1547366400,123.19,123.37,122.81,122.9,4580.21229,9123.985266999985
1547370000,122.9,123.25,122.55,122.98,5968.12702,8891.628537499986
1547373600,122.99,123.24,122.87,122.91,3309.59745,8696.103248499985
1547377200,122.97,123.06,122.56,122.83,4887.86989,8637.283342499986
1547380800,122.85,124.25,121.71,122.75,27615.4519,9425.881933999986
1547384400,122.75,123.6,122.69,123.13,9345.24199,9133.726464999989
1547388000,123.16,123.17,122.22,122.27,9433.20491,9321.833346999989
1547391600,122.28,122.54,122,122.17,7951.675,9414.419888499988
1547395200,122.16,122.17,114.1,114.2,109826.03605,14477.562523999988
1547398800,114.18,115.41,113.35,114.53,31153.92188,15707.624128499989
1547402400,114.49,115.02,113,113.39,31676.02456,15923.114747499989
1547406000,113.39,113.69,111.87,113.04,62053.69929,18107.43084849999
1547409600,113.02,113.82,112.84,113.21,14198.79882,18336.19780549999
1547413200,113.23,114.68,112.82,114.03,23032.16488,19132.74759049999
1547416800,114.03,114.47,113.5,113.97,12637.87776,19488.59889549999
1547420400,113.96,114.26,113.26,114.16,10544.50934,19785.13008299999
1547424000,114.17,115.05,113.94,115.03,13153.2729,20127.803301999986
1547427600,115.03,116.5,115,115.85,25340.35528,21051.873900499988
1547431200,115.85,116.28,115.5,115.77,12653.89872,21295.354702499986
1547434800,115.78,116.27,115.51,115.88,10012.79084,21468.736538499983
1547438400,115.87,116.45,115.79,116.14,9819.2236,21730.687103999986
1547442000,116.12,116.6,115.54,115.89,14150.992,22139.830352999987
1547445600,115.9,116.7,115.88,116.6,13771.13285,22662.907122999986
1547449200,116.6,117.57,116.15,116.2,16058.1151,23221.419383499986
1547452800,116.22,116.51,115.66,115.71,9384.67255,22309.88041599999
1547456400,115.67,116.05,115.07,115.58,14696.33736,22577.435184499987
1547460000,115.61,116.45,115.33,115.69,14548.09604,22833.17974099999
1547463600,115.7,116,114.47,115.19,16220.72293,23246.63213749999
1547467200,115.18,116.02,114.96,115.85,10568.7644,18283.768554999988
1547470800,115.88,116.3,115.37,115.45,10092.70438,17230.70767999999
1547474400,115.45,115.64,114.92,115.44,7220.89198,16007.951050999991
1547478000,115.45,128.08,115.32,127.28,94563.21956,17633.427064499992
1547481600,127.26,130.05,125.62,126.56,88803.91299,21363.68277299999
1547485200,126.56,127.97,126.16,127.21,29852.41449,21704.69525349999
1547488800,127.21,129.23,126.73,127.72,37501.17424,22947.86007749999
1547492400,127.73,128.21,127.11,127.58,19003.22386,23370.79580349999
1547496000,127.56,128.62,126.25,126.41,26053.04274,24015.78429549999
1547499600,126.41,126.87,124.54,126.47,27209.17866,24109.22546449999
1547503200,126.46,127.3,126.44,126.95,12102.55293,24081.65817499999
1547506800,126.95,127.59,126.06,126.95,13639.71814,24263.00453999999
1547510400,126.95,128.83,126.92,127.75,20570.70275,24800.57849749999
1547514000,127.78,128.42,127.3,127.35,12032.39694,24694.648744499988
1547517600,127.43,127.5,126.51,126.89,11627.09783,24587.446993499987
1547521200,126.9,127.69,125.48,126.87,18821.16228,24725.599352499987
1547524800,126.84,127,126.28,126.83,10373.1351,24775.02247999999
1547528400,126.84,127.11,126.29,126.42,7740.35129,24427.22317649999
1547532000,126.42,126.64,126.06,126.41,9739.90285,24186.81351699999
1547535600,126.41,127.3,126.35,127.11,16042.67784,24177.91126249999
1547539200,127.08,127.21,126.76,127.06,10035.92223,24151.269153999994
1547542800,127.07,127.08,123.1,124.52,47465.44005,26019.905937499992
1547546400,124.53,125.48,124.3,125.17,21079.91649,26712.85716299999
1547550000,125.2,125.53,125.04,125.28,10372.09151,22503.30076049999
1547553600,125.28,126.07,125.01,125.29,18713.57897,18998.78405949999
1547557200,125.28,128.55,125.12,128.06,27814.76154,18896.90141199999
1547560800,128.07,128.09,126.88,127.79,26537.07242,18348.69632099999
1547564400,127.83,129.4,123.51,124.84,70184.16879,20907.74356749999
1547568000,124.85,126.47,123.8,125.18,27543.37029,20982.25994499999
1547571600,125.18,125.52,124.52,125.19,12365.86427,20240.09422549999
1547575200,125.18,125.49,124.55,124.98,11424.3522,20206.184188999992
1547578800,124.95,125.2,124.05,124.8,11309.16778,20089.656670999993
1547582400,124.81,124.85,116,117.52,110582.35505,24590.239285999993
1547586000,117.47,119,116.33,116.77,51254.83231,26551.361054499994
1547589600,116.78,118.48,116.5,117.6,31351.19411,27537.565868499998
1547593200,117.6,120.73,117.15,118.95,54039.01481,29298.45849499999
1547596800,118.93,119.64,118.52,119.29,22534.56271,29906.529875499993
1547600400,119.29,119.78,118.8,119.55,14810.2583,30260.02522599999
1547604000,119.56,119.59,118.55,119.01,11363.94801,30341.227483999995
1547607600,119.01,119.77,118.97,119.64,8495.91585,29963.889384499995
1547611200,119.63,120.32,119.42,119.49,16717.03591,30297.945068499994
1547614800,119.49,120.58,119.3,120.22,14250.09633,28637.177882499993
1547618400,120.23,120.31,119.38,119.83,10011.17072,28083.740593999995
1547622000,119.88,119.94,118.84,119.33,12022.38957,28166.255496999995
1547625600,119.28,122.81,119.11,121.73,24816.97944,28471.425520499994
1547629200,121.74,122.71,121.22,121.36,26469.68102,28404.171494499995
1547632800,121.4,122.14,121.33,121.57,14481.64146,27801.399946499994
1547636400,121.57,121.94,121.19,121.53,8466.99539,24715.541276499993
1547640000,121.53,126.88,121.52,124.13,51267.13865,25901.72969449999
1547643600,124.15,124.79,120.57,121.5,43930.17645,27479.94530349999
1547647200,121.46,122.56,120.7,122.08,27757.14293,28296.58483999999
1547650800,122.08,122.97,119.44,121.07,35417.14255,29501.98357849999
1547654400,121.01,121.37,118.78,120.67,33355.92815,25640.66223349999
1547658000,120.67,122.21,120.67,121.47,22715.54474,24213.697854999984
1547661600,121.47,124.13,120,121.23,36245.27456,24458.401877499986
1547665200,121.24,121.87,119.68,121.08,22432.54579,22878.078426499986
1547668800,121.08,121.48,120.14,120.82,15054.92399,22504.096490499986
